DATE,tavg,tmin,tmax,prcp,wdir,wspd,wpgt,pres
02-01-23,4.1,3.4,4.9,,271,25.7,55.5,1009.3
02-02-23,4,1,5.6,,292,21.9,64.8,1015.7
02-03-23,5.3,1.6,7.7,,265,25.2,68.5,1014.3
02-04-23,1.7,-2.5,4.9,,349,15.7,55.5,1034
02-05-23,-2.3,-4.2,0.9,,156,7.9,22.2,1038.8
02-06-23,-2,-4,0.9,,130,7.6,18.5,1040.2
02-07-23,-2.4,-5.5,1.8,,173,4.8,13,1042.7
02-08-23,-2,-5.2,2.3,,148,10.8,27.8,1041.5
02-09-23,-1.8,-5.5,2.5,,198,13,27.8,1033.4
02-10-23,1.9,-1.1,4.8,,249,15,31.5,1033
02-11-23,6,3,8.4,,268,19.4,44.5,1028.4
02-12-23,6.9,5.8,8.3,,278,10.4,24.1,1036.5
02-13-23,6.5,4.3,8.2,,284,10.6,25.9,1037.6
02-14-23,4.2,1.9,8.2,,196,6.8,16.7,1036.3
02-15-23,2.9,-0.8,7.8,,177,9.1,18.5,1028.6
02-16-23,4.9,0.8,9.2,,236,11.2,25.9,1022.7
02-17-23,8.7,6.3,11.2,,244,22.4,66.7,1014.2
02-18-23,7.2,6,8.3,,275,20.4,61.1,1013.1
02-19-23,4.7,2.8,6.4,,298,15,40.8,1018.2
02-20-23,6.8,2.6,9.7,,260,24,63,1016
02-21-23,8.9,7.1,9.9,,288,20,53.7,1014.3
02-22-23,7.3,4.9,10.4,,133,10,29.6,1016.4
02-23-23,7.2,4.2,10.7,,190,11.4,27.8,1012.4
02-24-23,4,2.9,7.4,,263,17.6,42.6,1003.7
02-25-23,1.4,-0.5,2.9,,317,21.6,50,1001.9
02-26-23,-0.1,-1.7,2.5,,354,15.1,35.2,1019.8
02-27-23,0.1,-2.9,3.6,,14,8.5,22.2,1029.1
02-28-23,0.8,-3,5.2,,77,6.7,18.5,1032.2
03-01-23,1.3,-3.6,7.1,,33,5.4,16.7,1029.4
03-02-23,1,-2.3,5.4,,38,7.8,16.7,1025.4
03-03-23,1.7,-1.3,5.8,,292,10.8,31.5,1022.5
03-04-23,3.2,1.3,5.1,,292,16.9,40.8,1017
03-05-23,1.4,0.2,3.3,,287,15.7,44.5,1011.7
03-06-23,1.1,-1.4,3,,256,11.1,25.9,1004
03-07-23,1.5,-1.2,3.4,,229,18.2,46.3,996
