"Berichtsmonat";"Bestand Arbeitslose";"Zugang Arbeitslose";"Abgang Arbeitslose";"Arbeitslosenquote"
"März 2011";"3.211.230";"650.820";"752.350";"7,6"
"Februar 2011";"3.313.210";"700.810";"733.910";"7,9"
"Januar 2011";"3.345.970";"932.140";"598.030";"7,9"
"Dezember 2010";"3.011.590";"744.590";"659.980";"7,1"
"November 2010";"2.926.970";"746.560";"760.600";"6,9"
"Oktober 2010";"2.941.020";"696.970";"782.780";"7,0"
"September 2010";"3.026.830";"705.320";"861.700";"7,2"
"August 2010";"3.183.220";"799.620";"803.320";"7,6"
"Juli 2010";"3.186.930";"795.900";"757.570";"7,6"
"Juni 2010";"3.148.610";"715.850";"803.600";"7,5"
"Mai 2010";"3.236.360";"692.540";"856.340";"7,7"
"April 2010";"3.400.160";"789.450";"949.780";"8,1"
"März 2010";"3.560.490";"730.370";"805.220";"8,5"
"Februar 2010";"3.635.350";"759.220";"733.830";"8,6"
"Januar 2010";"3.610.050";"970.370";"628.520";"8,6"
"Dezember 2009";"3.268.170";"744.320";"684.200";"7,8"
"November 2009";"3.208.040";"738.310";"751.470";"7,6"
"Oktober 2009";"3.221.210";"735.140";"852.820";"7,7"
"September 2009";"3.338.880";"759.270";"883.830";"7,9"
"August 2009";"3.463.440";"742.360";"733.340";"8,2"
"Juli 2009";"3.454.500";"803.600";"751.180";"8,2"
"Juni 2009";"3.402.050";"706.430";"753.520";"8,1"
"Mai 2009";"3.449.220";"673.440";"799.420";"8,2"
"April 2009";"3.575.260";"825.380";"826.380";"8,5"
"März 2009";"3.576.360";"757.980";"724.210";"8,5"
"Februar 2009";"3.542.600";"758.220";"695.740";"8,5"
"Januar 2009";"3.480.170";"953.480";"567.450";"8,3"
"Dezember 2008";"3.094.150";"756.970";"643.690";"7,4"
"November 2008";"2.980.970";"694.600";"702.750";"7,1"
"Oktober 2008";"2.989.230";"733.950";"817.830";"7,1"
"September 2008";"3.073.270";"658.300";"772.920";"7,3"
"August 2008";"3.187.760";"689.840";"703.920";"7,6"
"Juli 2008";"3.201.840";"762.480";"712.290";"7,6"
"Juni 2008";"3.151.680";"584.990";"707.320";"7,5"
"Mai 2008";"3.274.030";"610.190";"739.800";"7,8"
"April 2008";"3.403.670";"663.910";"756.980";"8,1"
"März 2008";"3.496.860";"642.150";"751.440";"8,3"
"Februar 2008";"3.606.080";"644.870";"686.700";"8,6"
"Januar 2008";"3.647.910";"856.960";"604.140";"8,7"
"Dezember 2007";"3.395.220";"660.140";"631.830";"8,1"
"November 2007";"3.366.880";"669.260";"723.780";"8,0"
"Oktober 2007";"3.421.390";"695.530";"804.740";"8,2"
"September 2007";"3.530.640";"673.130";"834.200";"8,4"
"August 2007";"3.691.890";"671.520";"680.410";"8,8"
"Juli 2007";"3.701.000";"775.270";"746.800";"8,8"
"Juni 2007";"3.672.930";"578.000";"700.850";"8,8"
"Mai 2007";"3.795.940";"572.720";"734.890";"9,1"
